Date,Sales,Net_Income,Capex,OCF,ICF,CPI,Interest_Rate,Regime
2011-01-31,500.0,58.22282695969555,32.25002511450251,77.77622638509527,32.69773367451983,100.0,1.5852433334796223,Expansion
2011-02-28,502.2501745532253,61.77922291856645,35.486747721283294,85.50325550387052,36.81590025141573,100.17483570765056,1.42074792615673,Expansion
2011-03-31,514.4823707851644,64.76583896080115,34.72586032596321,85.83204496640067,35.43486408355172,100.317922492592,1.4885263558533102,Expansion
2011-04-30,525.167882783928,59.33148463736086,28.348296005465645,71.31941848510024,29.788413220915118,100.50030691949704,1.5504987278980458,Expansion
2011-05-31,525.8099862951225,66.57562203583734,34.189939052630706,88.85680914187311,35.99087948554152,100.72645841231744,1.5865755194170121,Expansion
2011-06-30,532.5986948842624,69.33439482133129,37.11884781592501,92.99790929303423,35.68807271380696,100.86475074358127,1.3799703592944224,Expansion
2011-07-31,537.7564280561119,66.18451097962823,36.07351029670737,89.54325366721447,35.39245863923249,101.00304389573381,1.466549876415905,Expansion
2011-08-31,546.485105523386,73.08539591303858,41.509319204523976,99.57008026636632,40.856695225221586,101.23200453650918,1.4525054688839043,Expansion
2011-09-30,543.5663023522567,62.1327994858565,33.96216609883041,87.13633241314993,32.072625367884875,101.42037627296682,1.4346670767426288,Expansion
2011-10-31,548.9332965118973,60.893376768182,32.5547702589229,83.64845724355263,30.130890932293944,101.54690255367007,1.6765454240281097,Expansion
2011-11-30,556.1368549450556,59.62154159778956,28.51241328464363,79.20054732903768,29.272827940787927,101.72403055584937,1.5404981710960957,Expansion
2011-12-31,549.2797429552603,71.89774640058796,34.34439263709847,81.93198079949201,34.76985019888344,101.85085967120874,1.3739116045664954,Expansion
2012-01-31,545.3000936357707,68.05347386170872,34.31852098434327,90.63118317650424,34.27080962820129,101.97757318353023,1.5917861947054777,Expansion
2012-02-29,537.0228836901811,64.2204073591799,34.17940831468229,85.46653348215857,33.021043625489746,102.13967129710852,1.7122156197012632,Expansion
2012-03-31,537.6486815240747,65.63771628816825,37.913672328070504,87.26718931134049,38.79103461864617,102.19400728487562,1.6032465260551148,Expansion
2012-04-30,543.2045157488674,60.68258570067057,28.766909350640162,73.02209424574872,28.793795189634693,102.25776139324998,1.3480630034045986,Expansion
2012-05-31,552.6553581975785,76.10165090217673,36.262890279785964,89.61531165972715,34.22115541136167,102.37964701678793,1.4515765927133748,Expansion
2012-06-30,554.9761528776858,67.11402307322321,36.87882131224706,93.43294019322063,36.196837064249266,102.4790054607712,1.6266911149186623,Expansion
2012-07-31,565.0363744222274,68.24194410908684,33.198605254588934,88.00461318594691,32.91750496170298,102.64471782740097,1.429233053438122,Expansion
2012-08-31,560.0835677330409,70.11309462355968,41.276212576817215,94.20209880779542,41.917055438084226,102.7493166236249,1.5443819428146228,Expansion
